ID,weidu,jingdu,AADT
121-0135,33.714138,-84.45373,4220
121-5212,33.706338,-84.428019,15600
121-5708,33.709397,-84.4499,9410
121-6156,33.718338,-84.447324,1350
121-8381,33.714393,-84.451993,430
121-8383,33.721107,-84.442657,50
121-5969,33.80709,-84.37974,246000
121-5101,33.789461,-84.387787,25300
121-5102,33.792967,-84.389156,19500
121-5104,33.796971,-84.388369,32500
121-5158,33.792118,-84.373828,23400
121-5484,33.7951,-84.3916,172600
121-5528,33.800291,-84.389051,34900
121-5626,33.791269,-84.385603,24000
121-5638,33.786487,-84.380797,17800
121-5967,33.7932,-84.392,200000
121-6102,33.79674,-84.38167,6420
121-6114,33.781786,-84.37822,14700
121-7242,33.797175,-84.377026,5720
121-8327,33.802782,-84.381344,280
121-8331,33.794783,-84.388815,460
121-r042,33.79257,-84.390602,17000
121-r181,33.808065,-84.378327,21700
121-r642,33.793286,-84.391416,6250
121-5016,33.7837,-84.4075,28400
121-5633,33.7862,-84.40443,15100
121-9178,33.79648,-84.39422,27400
121-9645,33.79683,-84.39516,35500
121-0262,33.791113,-84.393487,30000
121-5636,33.781517,-84.40093,14000
121-r643,33.793137,-84.39355,6710
121-r777,33.795172,-84.393735,20300
121-5100,33.78315,-84.38921,16200
121-5103,33.78407,-84.387828,15700
121-5154,33.779888,-84.382618,16100
121-5156,33.779614,-84.381064,11200
121-5483,33.7864,-84.3908,373200
121-5625,33.783873,-84.383405,19400
121-5635,33.78666,-84.38561,17300
121-5086,33.773334,-84.364752,38100
121-5007,33.757783,-84.391534,12700
121-5009,33.764453,-84.391361,7320
121-5092,33.75449,-84.38988,11200
121-5109,33.761321,-84.389037,10300
121-5613,33.762819,-84.396962,14300
121-5628,33.76154,-84.387552,17300
121-6216,33.760985,-84.38851,4900
121-7265,33.76279,-84.390545,7950
121-5012,33.7713,-84.393153,18600
121-5056,33.774673,-84.408089,27900
121-5611,33.773331,-84.403856,15000
121-5631,33.765139,-84.396131,5500
121-6202,33.774381,-84.403674,6990
121-7246,33.76706,-84.391896,3080
121-8343,33.781244,-84.397718,1650
121-8860,33.776899,-84.402439,7310
121-8861,33.77335,-84.405239,300
121-r036,33.766844,-84.390078,3240
121-r634,33.765859,-84.390033,11500
121-r635,33.768323,-84.390595,11400
121-r637,33.766555,-84.390226,1620
121-r639,33.773593,-84.390567,14600
121-r640,33.780534,-84.391451,18700
121-5014,33.770166,-84.401872,14100
121-5052,33.767189,-84.404849,28700
121-5054,33.771042,-84.405686,28300
121-5058,33.780024,-84.413813,19000
121-5078,33.773133,-84.409982,19800
121-8447,33.77187,-84.413464,710
121-8463,33.765531,-84.408845,200
121-5061,33.785092,-84.421189,14500
121-5687,33.76845,-84.417414,10900
121-5688,33.77678,-84.417344,7090
121-6124,33.78627,-84.432472,13100
121-7244,33.765032,-84.43105,1860
121-8847,33.773856,-84.426125,10600
121-0133,33.784515,-84.44943,2360
121-5076,33.771277,-84.434701,20000
121-6120,33.803763,-84.459418,4820
121-6122,33.793539,-84.447079,5530
121-8851,33.774175,-84.437927,250
121-8852,33.775893,-84.440359,110
121-6166,33.72787,-84.416431,4050
121-8395,33.718281,-84.410273,5540
121-8399,33.716081,-84.415079,200
121-8487,33.7293,-84.4123,410
121-5462,33.6533,-84.3957,167000
121-5571,33.680647,-84.38107,10300
121-6184,33.674103,-84.383697,3170
121-6308,33.6729,-84.39554,2600
121-6310,33.65881,-84.387772,2800
121-7255,33.678637,-84.390727,280
121-8573,33.667551,-84.380698,1470
121-8880,33.668511,-84.389292,1550
121-r601,33.654158,-84.395843,13200
121-5500,33.7468,-84.4354,151000
121-5558,33.745435,-84.439894,13100
121-8375,33.734902,-84.44898,240
121-r212,33.749282,-84.442562,6160
121-5678,33.763562,-84.43596,4710
121-5685,33.759299,-84.417514,13800
121-6128,33.762342,-84.441146,9190
121-6138,33.761619,-84.433452,4480
121-6200,33.759768,-84.418734,1840
121-8361,33.756775,-84.438485,610
121-8363,33.761216,-84.440127,160
121-5684,33.748405,-84.417537,18000
121-6148,33.747427,-84.435831,2940
121-8443,33.74952,-84.424332,1350
121-r811,33.749836,-84.442884,5150
121-r813,33.745703,-84.427898,5400
121-r816,33.741895,-84.419849,6140
121-5072,33.781707,-84.484397,15500
121-5274,33.805272,-84.482523,14000
121-5444,33.793806,-84.474157,6250
121-5543,33.7926,-84.4883,151000
121-5545,33.8045,-84.4919,137000
121-6126,33.801725,-84.477204,2350
121-6256,33.792678,-84.481123,1420
121-6258,33.79192,-84.468082,2840
121-6322,33.785403,-84.472906,1370
121-8509,33.799291,-84.481069,430
121-r118,33.787318,-84.491903,7540
121-r119,33.798182,-84.487494,4920
121-6132,33.768049,-84.44162,1400
121-8355,33.772604,-84.45082,560
121-8357,33.764584,-84.454901,140
121-5074,33.777122,-84.461601,20800
121-5443,33.769827,-84.4726,11700
121-6130,33.770262,-84.459669,2230
121-0989,33.82873,-84.420263,6630
121-5034,33.86399,-84.446337,24300
121-5067,33.823528,-84.457459,23400
121-5491,33.8399,-84.4298,209000
121-5669,33.820849,-84.452479,12100
121-5671,33.826976,-84.440016,13700
121-5673,33.837187,-84.420714,10600
121-6064,33.839038,-84.446974,750
121-6066,33.845564,-84.439754,2940
121-6068,33.839986,-84.448882,3370
121-6092,33.841867,-84.427683,5950
121-6304,33.855838,-84.441114,10200
121-r053,33.832335,-84.426458,3910
121-r054,33.8335,-84.427701,3450
121-r055,33.845149,-84.429574,7640
121-r056,33.846727,-84.430156,5170
121-r653,33.833733,-84.427125,3620
121-r654,33.831346,-84.427323,5080
121-r655,33.850586,-84.431328,8240
121-r656,33.847631,-84.431022,5670
121-r657,33.866262,-84.441178,5110
121-r658,33.862205,-84.437556,6020
121-0994,33.850417,-84.372512,53300
121-0995,33.852259,-84.364352,22000
121-5112,33.84592,-84.381204,23400
121-5350,33.841265,-84.375292,41200
121-5352,33.846679,-84.368235,47500
121-5353,33.852877,-84.360379,42500
121-5431,33.851558,-84.37972,31800
121-r069,33.849595,-84.3684,19600
121-r670,33.849879,-84.369291,17800
121-5160,33.802603,-84.367245,22400
121-5162,33.810629,-84.358595,18600
121-6096,33.806786,-84.3507,8480
121-6100,33.801591,-84.372954,7280
121-6108,33.797449,-84.353255,8000
121-6110,33.790438,-84.355557,13200
121-7243,33.799475,-84.364042,7410
121-8337,33.799293,-84.352666,460
121-8339,33.787604,-84.35933,2780
121-5164,33.819201,-84.35138,33600
121-5425,33.820507,-84.35762,16200
121-5426,33.809898,-84.366034,20900
121-5530,33.811749,-84.369276,36300
121-5600,33.807119,-84.375444,16300
121-5970,33.8114,-84.3713,229000
121-5971,33.8218,-84.3591,159000
121-5972,33.823983,-84.351003,207000
121-8325,33.816436,-84.354176,460
121-r184,33.821014,-84.360224,910
121-r186,33.821782,-84.357977,23700
121-r188,33.823747,-84.351068,11500
121-5045,33.730217,-84.408037,15900
121-5609,33.722145,-84.40301,14200
121-r013,33.720649,-84.395351,6300
121-r014,33.723504,-84.393569,9750
121-r613,33.723445,-84.394527,10900
121-r614,33.721171,-84.395968,6200
121-0238,33.764208,-84.398976,14200
121-5001,33.744558,-84.401936,10000
121-5003,33.747369,-84.397935,22100
121-5004,33.752059,-84.395924,17800
121-5006,33.747171,-84.398153,460
121-5049,33.75542,-84.402797,30300
121-5222,33.748448,-84.400622,5710
121-6142,33.754516,-84.397479,11100
121-6246,33.751471,-84.399763,3380
121-7258,33.7533,-84.3998,1970
121-7261,33.7562,-84.4011,600
121-8449,33.764683,-84.400602,1130
121-8865,33.751775,-84.396248,12700
121-8907,33.753836,-84.396505,160
121-r824,33.744702,-84.400059,3600
121-5237,33.77353,-84.348965,24900
121-5080,33.771305,-84.386961,28900
121-5081,33.771928,-84.383356,16500
121-5082,33.771287,-84.38319,22700
121-5098,33.77648,-84.388798,17800
121-5105,33.77672,-84.387304,18900
121-5481,33.7733,-84.39,353700
121-5482,33.775945,-84.390382,404000
121-5623,33.778801,-84.38428,21200
121-6118,33.7758,-84.3902,2460
121-r039,33.77937,-84.390667,14000
121-5107,33.767842,-84.387661,8150
121-5476,33.761,-84.38,324200
121-5477,33.764138,-84.383836,352900
121-5478,33.7665,-84.3871,358600
121-5480,33.7687,-84.3897,339900
121-5621,33.76647,-84.385428,12300
121-5630,33.765419,-84.384081,11700
121-r027,33.761791,-84.380811,30700
121-r033,33.766241,-84.386192,6020
121-r035,33.76844,-84.389304,8350
121-r038,33.770737,-84.389978,29800
121-r629,33.760074,-84.380248,5840
121-r631,33.76259,-84.382813,9680
121-r633,33.764757,-84.384961,10800
121-5084,33.772466,-84.376833,29100
121-5573,33.7681,-84.367743,10200
121-5596,33.76596,-84.371928,18200
121-5597,33.773087,-84.37114,16600
121-5608,33.766071,-84.382041,10300
121-5951,33.771226,-84.377112,16600
121-6106,33.77201,-84.372784,3860
121-6112,33.761328,-84.368321,8290
121-6204,33.771921,-84.377724,4360
121-0471,33.762929,-84.363264,26300
121-5090,33.754347,-84.375047,10800
121-5475,33.760193,-84.375647,48000
121-5580,33.75794,-84.367915,7550
121-5594,33.75579,-84.372132,17800
121-5616,33.752048,-84.369242,13100
121-6104,33.75668,-84.374342,6400
121-6210,33.764073,-84.377273,8030
121-6220,33.757736,-84.377921,8040
121-6224,33.755482,-84.37331,2320
121-8479,33.75247,-84.370501,280
121-8751,33.75429,-84.366514,350
121-r025,33.752601,-84.378788,7210
121-0087,33.773826,-84.35507,36700
121-5598,33.786851,-84.367245,25000
121-6111,33.776306,-84.352502,12200
121-6206,33.781929,-84.36086,8770
121-8453,33.780938,-84.359449,460
121-8455,33.776311,-84.350361,320
121-8846,33.786227,-84.370748,290
121-0245,33.751969,-84.388966,8750
121-5005,33.755391,-84.393673,7940
121-5605,33.750166,-84.386679,7840
121-5614,33.755639,-84.391356,16500
121-6117,33.753526,-84.390539,11700
121-6139,33.753184,-84.394119,4740
121-r024,33.749252,-84.382793,11300
121-6370,33.8743,-84.44614,190000
121-0127,33.866857,-84.437162,11300
121-5029,33.844193,-84.424936,15700
121-5032,33.856852,-84.432074,21600
121-5492,33.8561,-84.4322,198000
121-5494,33.8651,-84.4395,189000
121-5648,33.850892,-84.419879,19800
121-5649,33.846788,-84.406352,17900
121-5652,33.863381,-84.404768,10400
121-6020,33.864282,-84.391439,5810
121-6026,33.878582,-84.424818,1690
121-6094,33.847007,-84.39368,10300
121-6254,33.858876,-84.392091,540
121-7227,33.877046,-84.387754,9830
121-8303,33.86272,-84.425953,990
121-8307,33.851247,-84.39066,2020
121-8503,33.868429,-84.41932,200
121-8505,33.863522,-84.432328,1270
121-8591,33.877458,-84.41608,100
121-8633,33.8762,-84.4091,150
121-r057,33.864291,-84.438604,4350
121-r058,33.866053,-84.440047,6970
121-5021,33.80719,-84.407794,24100
121-5023,33.81977,-84.407621,12700
121-5025,33.83308,-84.407435,10300
121-5027,33.840116,-84.41353,13000
121-5489,33.8041,-84.4105,227000
121-5490,33.8175,-84.422,217000
121-5651,33.84305,-84.407325,3660
121-5672,33.808113,-84.412724,21100
121-5674,33.842572,-84.411844,10200
121-6074,33.825187,-84.415633,3850
121-6078,33.809455,-84.4102,9420
121-6088,33.836155,-84.41964,5400
121-8295,33.80576,-84.406894,380
121-8297,33.806995,-84.409617,790
121-8301,33.837489,-84.41576,350
121-8313,33.823048,-84.39824,510
121-r048,33.803025,-84.40676,8080
121-r050,33.803462,-84.409245,1010
121-r051,33.805028,-84.41209,16100
121-r052,33.806507,-84.414925,7640
121-5474,33.75873,-84.37843,308000
121-5094,33.7556,-84.3833,3930
121-5471,33.7558,-84.3782,341000
121-5473,33.7506,-84.3811,364000
121-5606,33.754889,-84.382264,10700
121-5629,33.7544,-84.384359,11800
121-8473,33.751469,-84.38127,3530
121-8864,33.754127,-84.388809,2740
121-r028,33.758684,-84.378335,9470
121-r029,33.758501,-84.378744,1670
121-r030,33.757436,-84.37809,17500
121-r623,33.75009,-84.382394,5990
121-r626,33.75312,-84.37939,10100
121-r628,33.75579,-84.378819,13100
121-r630,33.758375,-84.380511,7510
121-r632,33.758455,-84.378803,2180
121-0243,33.7517,-84.3944,3440
121-5246,33.747652,-84.393919,4410
121-5362,33.746956,-84.396097,10900
121-5364,33.746932,-84.39158,12000
121-5392,33.748901,-84.392179,6390
121-5472,33.7469,-84.3873,244000
121-5601,33.748224,-84.387698,13700
121-5627,33.747161,-84.390722,15200
121-6116,33.750278,-84.393553,7710
121-r022,33.747414,-84.386209,48900
121-r621,33.747977,-84.386598,20500
121-r622,33.745964,-84.39425,890
121-r826,33.745486,-84.397142,4820
121-5232,33.680697,-84.366986,7460
121-5234,33.698425,-84.371244,8480
121-5466,33.6927,-84.4029,258000
121-6098,33.689106,-84.398259,7230
121-6180,33.689659,-84.390713,3910
121-6188,33.695809,-84.373811,2280
121-8413,33.697039,-84.393426,40
121-8417,33.69965,-84.373779,360
121-8419,33.692845,-84.371224,240
121-8894,33.696992,-84.404062,15000
121-r005,33.68592,-84.39851,15800
121-5410,33.695216,-84.523952,21100
121-5413,33.690255,-84.509369,30100
121-5740,33.687601,-84.528526,3350
121-6282,33.68351,-84.506342,6660
121-6294,33.678612,-84.506439,970
121-6296,33.687469,-84.533771,2940
121-8551,33.690155,-84.53139,350
121-8557,33.680407,-84.525842,2660
121-8829,33.680429,-84.526799,2330
121-r706,33.686758,-84.500388,15000
121-r707,33.689047,-84.501005,9950
121-5716,33.654584,-84.509503,51700
121-5723,33.663009,-84.5225,2300
121-5724,33.676373,-84.517993,1880
121-7251,33.673304,-84.499204,2720
121-5496,33.7653,-84.5125,172000
121-5564,33.757112,-84.501794,22200
121-5726,33.734615,-84.510558,11400
121-5727,33.750299,-84.507457,8220
121-6270,33.746518,-84.515184,2820
121-8061,33.754725,-84.520021,2390
121-r712,33.752872,-84.496214,7410
121-5409,33.697746,-84.544773,13700
121-5412,33.690769,-84.512816,24300
121-5414,33.690336,-84.502947,31300
121-5725,33.707408,-84.50702,12300
121-6036,33.709643,-84.535676,1940
121-6280,33.694204,-84.506219,3310
121-8067,33.714174,-84.539963,100
121-8131,33.712552,-84.536711,170
121-8539,33.702619,-84.511025,750
121-8541,33.701,-84.5196,120
121-r705,33.691357,-84.50139,4440
121-r710,33.722101,-84.503168,8400
