V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30
313,121-5555,121-5035,121-5230,121-5556,121-5998,121-6312,121-6314,121-6316,121-6318,121-7256,121-8585,121-8603,121-r002,121-r137,121-r138,121-r737,121-r738,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
308,121-5223,121-5224,121-6194,121-6196,121-8437,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
307,121-5468,121-5228,121-5420,121-5421,121-5422,121-5583,121-6182,121-8411,121-8904,121-r010,121-r012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
306,121-5419,121-5043,121-5691,121-5693,121-6168,121-6174,121-8407,121-8857,121-r878,121-r879,121-r880,121-r881,121-r884,121-r885,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
612,089-3278,089-3281,089-3292,089-3294,089-3776,089-3778,089-3781,089-3794,089-4097,089-7179,089-8551,089-8553,089-r201,089-r202,089-r203,089-r205,121-5229,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
602,121-0473,121-0479,121-5088,121-5953,121-6222,121-r840,121-r841,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
114,121-5068,121-5069,121-5270,121-5272,121-5566,121-5729,121-5730,121-6134,121-6262,121-6320,121-8511,121-r115,121-r713,121-r717,121-r718,121-r720,121-r804,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
050,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
606,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
405,121-5562,121-6146,121-8369,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
401,121-5218,121-5388,121-5390,121-5501,121-5503,121-5680,121-5682,121-5755,121-7245,121-8441,121-r214,121-r215,121-r216,121-r218,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
409,121-5380,121-5538,121-5704,121-5706,121-5707,121-6274,121-6276,121-6284,121-6302,121-8401,121-8545,121-r107,121-r108,121-r868,121-r869,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
410,121-5416,121-5417,121-5698,121-8856,121-r871,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
411,121-5415,121-5536,121-5697,121-6292,121-6300,121-6344,121-7250,121-8876,121-r105,121-r106,121-r866,121-r867,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
305,121-0139,121-0143,121-5226,121-5236,121-5238,121-6178,121-6190,121-8425,121-8429,121-8431,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
309,121-9412,121-9511,121-5041,121-5526,121-5527,121-5572,121-5574,121-5575,121-6176,121-r168,121-r169,121-r604,121-r605,121-r767,121-r771,121-r774,121-r882,121-r883,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
606,121-0399,121-0403,121-0405,121-0407,121-5398,121-5511,121-8475,121-r237,121-r835,121-r836,121-r838,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
607,121-5227,121-5588,121-6192,121-6226,121-6228,121-6230,121-7249,121-8435,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
108,121-0236,121-5499,121-5560,121-5677,121-6144,121-8367,121-r211,121-r807,121-r812,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
112,121-5542,121-5441,121-6136,121-6260,121-8515,121-8517,121-8521,121-r117,121-r440,121-r803,121-r808,121-r809,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
304,121-0147,121-5240,121-5469,121-5582,121-5602,121-5603,121-5610,121-6186,121-6232,121-6236,121-6242,121-7259,121-8423,121-8485,121-r015,121-r017,121-r019,121-r020,121-r021,121-r226,121-r228,NA,NA,NA,NA,NA,NA,NA,NA
102,121-5679,121-6208,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
207,121-5108,121-5486,121-9420,121-5018,121-5106,121-5485,121-5675,121-6084,121-6086,121-7240,121-8289,121-r047,121-r648,121-r649,121-r782,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
403,121-5384,121-5709,121-6158,121-6160,121-8387,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
303,121-5505,121-5242,121-5243,121-5244,121-5470,121-5504,121-5506,121-5579,121-5581,121-6238,121-6244,121-8459,121-8491,121-8895,121-r221,121-r223,121-r224,121-r225,121-r616,121-r618,121-r619,121-r620,121-r822,121-r828,NA,NA,NA,NA,NA
605,121-5508,121-0145,121-0153,121-0401,121-0510,121-5394,121-5396,121-5507,121-5509,121-5589,121-5590,121-5592,121-5604,121-6234,121-6240,121-6328,121-7248,121-7260,121-8481,121-r232,121-r233,121-r235,121-r236,121-r823,121-r827,121-r829,121-r834,NA,NA
311,121-5463,121-0141,121-5465,121-6306,121-8405,121-8567,121-r003,121-r167,121-r611,121-r768,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
402,121-5214,121-5216,121-5386,121-6162,121-6164,121-6198,121-8389,121-8393,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
111,121-5498,121-5440,121-5540,121-5541,121-6264,121-8523,121-r113,121-r204,121-r207,121-r208,121-r438,121-r538,121-r711,121-r715,121-r716,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
609,089-4085,089-8545,089-r801,089-r802,121-5231,121-5233,121-5235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
610,089-3183,089-4089,089-4091,089-4093,089-4099,089-8547,089-8557,089-8656,089-r804,089-r806,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
204,121-5676,121-6070,121-6072,121-6076,121-8285,121-8838,121-r651,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
203,121-0131,121-5062,121-5063,121-5276,121-5445,121-6080,121-6082,121-8277,121-8279,121-8283,121-8349,121-8609,121-8842,121-8843,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
211,121-5427,121-5428,121-5429,121-5430,121-5990,121-8315,121-8319,121-r664,121-R666,121-r667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
206,121-5110,121-5423,121-5650,121-6090,121-7257,121-8309,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101,121-0241,121-5047,121-5220,121-5221,121-6140,121-6150,121-6212,121-6214,121-8467,121-r815,121-r817,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
209,121-0456,121-5114,121-0351,121-5354,121-5640,121-6248,121-6250,121-8497,121-8499,121-8868,121-8869,121-r070,121-r669,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
210,121-0449,121-0454,121-5163,121-5533,121-5587,121-5639,121-6324,121-7241,121-8321,121-r064,121-R066,121-r068,121-r783,121-r785,121-r787,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
408,121-0135,121-5212,121-5708,121-6156,121-8381,121-8383,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
502,121-5969,121-5101,121-5102,121-5104,121-5158,121-5484,121-5528,121-5626,121-5638,121-5967,121-6102,121-6114,121-7242,121-8327,121-8331,121-r042,121-r181,121-r642,121-r843,121-r844,121-r998,NA,NA,NA,NA,NA,NA,NA,NA
501,121-5016,121-5633,121-9178,121-9645,121-0262,121-5636,121-r643,121-r777,121-r999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
503,121-5100,121-5103,121-5154,121-5156,121-5483,121-5625,121-5635,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
506,121-5086,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
508,121-5007,121-5009,121-5092,121-5109,121-5613,121-5628,121-6216,121-7265,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
504,121-5012,121-5056,121-5611,121-5631,121-6202,121-7246,121-8343,121-8860,121-8861,121-r036,121-r634,121-r635,121-r637,121-r639,121-r640,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
103,121-5014,121-5052,121-5054,121-5058,121-5078,121-8447,121-8463,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
106,121-5061,121-5687,121-5688,121-6124,121-7244,121-8847,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
110,121-0133,121-5076,121-6120,121-6122,121-8851,121-8852,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
301,121-6166,121-8395,121-8399,121-8487,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
312,121-5462,121-5571,121-6184,121-6308,121-6310,121-7255,121-8573,121-8880,121-r601,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
404,121-5500,121-5558,121-8375,121-r212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
105,121-5678,121-5685,121-6128,121-6138,121-6200,121-8361,121-8363,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
104,121-5684,121-6148,121-8443,121-r811,121-r813,121-r816,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
113,121-5072,121-5274,121-5444,121-5543,121-5545,121-6126,121-6256,121-6258,121-6322,121-8509,121-r118,121-r119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
107,121-6132,121-8355,121-8357,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
109,121-5074,121-5443,121-6130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201,121-0989,121-5034,121-5067,121-5491,121-5669,121-5671,121-5673,121-6064,121-6066,121-6068,121-6092,121-6304,121-r053,121-r054,121-r055,121-r056,121-r653,121-r654,121-r655,121-r656,121-r657,121-r658,NA,NA,NA,NA,NA,NA,NA
208,121-0994,121-0995,121-5112,121-5350,121-5352,121-5353,121-5431,121-r069,121-r670,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
213,089-4027,089-4079,089-8149,121-5160,121-5162,121-6096,121-6100,121-6108,121-6110,121-7243,121-8337,121-8339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
212,121-5164,121-5425,121-5426,121-5530,121-5600,121-5970,121-5971,121-5972,121-8325,121-r184,121-r186,121-r188,121-r845,121-r846,121-r848,121-r849,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
302,121-5045,121-5609,121-r013,121-r014,121-r613,121-r614,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
507,121-0238,121-5001,121-5003,121-5004,121-5006,121-5049,121-5222,121-6142,121-6246,121-7258,121-7261,121-8449,121-8865,121-8907,121-r824,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
608,089-3005,089-3127,089-3756,089-3758,089-4081,089-4083,089-4087,089-7176,089-7177,089-7178,089-8539,089-8541,089-r041,089-r042,121-5237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
505,121-5080,121-5081,121-5082,121-5098,121-5105,121-5481,121-5482,121-5623,121-6118,121-r039,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
509,121-5107,121-5476,121-5477,121-5478,121-5480,121-5621,121-5630,121-r027,121-r033,121-r035,121-r038,121-r629,121-r631,121-r633,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
603,121-5084,121-5573,121-5596,121-5597,121-5608,121-5951,121-6106,121-6112,121-6204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
604,121-0471,121-5090,121-5475,121-5580,121-5594,121-5616,121-6104,121-6210,121-6220,121-6224,121-8479,121-8751,121-r025,121-r839,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
601,121-0087,121-5598,121-6111,121-6206,121-8453,121-8455,121-8846,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
511,121-0245,121-5005,121-5605,121-5614,121-6117,121-6139,121-r024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
202,121-6370,121-0127,121-5029,121-5032,121-5492,121-5494,121-5648,121-5649,121-5652,121-6020,121-6026,121-6094,121-6254,121-7227,121-8303,121-8307,121-8503,121-8505,121-8591,121-8633,121-r057,121-r058,NA,NA,NA,NA,NA,NA,NA
205,121-5021,121-5023,121-5025,121-5027,121-5489,121-5490,121-5651,121-5672,121-5674,121-6074,121-6078,121-6088,121-8295,121-8297,121-8301,121-8313,121-r048,121-r050,121-r051,121-r052,NA,NA,NA,NA,NA,NA,NA,NA,NA
510,121-5474,121-5094,121-5471,121-5473,121-5606,121-5629,121-8473,121-8864,121-r028,121-r029,121-r030,121-r623,121-r626,121-r628,121-r630,121-r632,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
512,121-0243,121-5246,121-5362,121-5364,121-5392,121-5472,121-5601,121-5627,121-6116,121-r022,121-r621,121-r622,121-r826,121-r831,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
310,121-5232,121-5234,121-5466,121-6098,121-6180,121-6188,121-8413,121-8417,121-8419,121-8894,121-r005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
413,121-5410,121-5413,121-5740,121-6282,121-6294,121-6296,121-8551,121-8557,121-8829,121-r706,121-r707,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
414,121-5716,121-5723,121-5724,121-7251,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
611,089-3185,089-3218,089-3283,089-3555,089-4095,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
407,121-5496,121-5564,121-5726,121-5727,121-6270,121-8061,121-r712,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
412,121-5409,121-5412,121-5414,121-5725,121-6036,121-6280,121-8067,121-8131,121-8539,121-8541,121-r705,121-r710,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
406,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
